id_global,country,source_primary,source_rank,name,level_tx_dx,substation_role,operator_name,operator_id,voltage_kv_nominal_max,voltage_kv_nominal_min,voltage_classes,voltage_quality_flag,installed_capacity_mva,available_capacity_mw,available_capacity_mva,reserved_capacity_mw,capacity_quality_flag,lon,lat,geom_type,geom_quality_flag,id_rte_site,id_enedis_poste,id_ore_poste,id_ga_nei,id_osm,id_rosetta,id_mapstand,id_capareseau,last_update_from_source,licence_code,match_status,review_flag,notes
AU_GA_NEI_1,AU,GA_NEI,2,SYDNEY WEST,TX,INTERFACE_TX_DX,TransGrid/Ausgrid,NSW,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,150.7489,-33.7456,POINT,TSO_DSO_EXACT,,,,1,,,,,2025-12-12T19:44:26.204372,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_2,AU,GA_NEI,2,TUGGERAH,TX,INTERFACE_TX_DX,TransGrid/Ausgrid,NSW,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,151.4167,-33.3,POINT,TSO_DSO_EXACT,,,,2,,,,,2025-12-12T19:44:26.204384,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_3,AU,GA_NEI,2,ERARING,TX,INTERFACE_TX_DX,TransGrid/Ausgrid,NSW,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,151.5333,-33.0833,POINT,TSO_DSO_EXACT,,,,3,,,,,2025-12-12T19:44:26.204390,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_4,AU,GA_NEI,2,TOMAGO,TX,INTERFACE_TX_DX,TransGrid/Ausgrid,NSW,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,151.75,-32.8333,POINT,TSO_DSO_EXACT,,,,4,,,,,2025-12-12T19:44:26.204395,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_5,AU,GA_NEI,2,ARMIDALE,TX,INTERFACE_TX_DX,TransGrid/Ausgrid,NSW,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,151.6667,-30.5,POINT,TSO_DSO_EXACT,,,,5,,,,,2025-12-12T19:44:26.204399,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_6,AU,GA_NEI,2,HAZELWOOD,TX,INTERFACE_TX_DX,AusNet/AEMO,VIC,500,500,EHV,NUMERIC_EXACT,,,,,MISSING,146.4333,-38.2833,POINT,TSO_DSO_EXACT,,,,6,,,,,2025-12-12T19:44:26.204403,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_7,AU,GA_NEI,2,LOYS YANG,TX,INTERFACE_TX_DX,AusNet/AEMO,VIC,500,500,EHV,NUMERIC_EXACT,,,,,MISSING,146.6,-38.25,POINT,TSO_DSO_EXACT,,,,7,,,,,2025-12-12T19:44:26.204407,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_8,AU,GA_NEI,2,SOUTH MORANG,TX,INTERFACE_TX_DX,AusNet/AEMO,VIC,330,330,EHV,NUMERIC_EXACT,,,,,MISSING,145.1,-37.6333,POINT,TSO_DSO_EXACT,,,,8,,,,,2025-12-12T19:44:26.204411,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_9,AU,GA_NEI,2,KEILOR,TX,INTERFACE_TX_DX,AusNet/AEMO,VIC,220,220,EHV,NUMERIC_EXACT,,,,,MISSING,144.85,-37.7167,POINT,TSO_DSO_EXACT,,,,9,,,,,2025-12-12T19:44:26.204416,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_10,AU,GA_NEI,2,TARONG,TX,INTERFACE_TX_DX,Powerlink,QLD,275,275,EHV,NUMERIC_EXACT,,,,,MISSING,151.9167,-26.7667,POINT,TSO_DSO_EXACT,,,,10,,,,,2025-12-12T19:44:26.204421,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_11,AU,GA_NEI,2,GLADSTONE,TX,INTERFACE_TX_DX,Powerlink,QLD,275,275,EHV,NUMERIC_EXACT,,,,,MISSING,151.25,-23.85,POINT,TSO_DSO_EXACT,,,,11,,,,,2025-12-12T19:44:26.204425,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_12,AU,GA_NEI,2,STRATHMORE,TX,INTERFACE_TX_DX,Powerlink,QLD,275,275,EHV,NUMERIC_EXACT,,,,,MISSING,147.0833,-19.7167,POINT,TSO_DSO_EXACT,,,,12,,,,,2025-12-12T19:44:26.204429,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_13,AU,GA_NEI,2,PARA,TX,INTERFACE_TX_DX,ElectraNet,SA,275,275,EHV,NUMERIC_EXACT,,,,,MISSING,138.7167,-34.8167,POINT,TSO_DSO_EXACT,,,,13,,,,,2025-12-12T19:44:26.204435,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_14,AU,GA_NEI,2,TORRENS ISLAND,TX,INTERFACE_TX_DX,ElectraNet,SA,275,275,EHV,NUMERIC_EXACT,,,,,MISSING,138.5333,-34.7833,POINT,TSO_DSO_EXACT,,,,14,,,,,2025-12-12T19:44:26.204439,GA_COPYRIGHT,UNMATCHED,False,
AU_GA_NEI_15,AU,GA_NEI,2,WADDAMANA,TX,INTERFACE_TX_DX,TasNetworks,TAS,220,220,EHV,NUMERIC_EXACT,,,,,MISSING,146.75,-42.1333,POINT,TSO_DSO_EXACT,,,,15,,,,,2025-12-12T19:44:26.204442,GA_COPYRIGHT,UNMATCHED,False,
